ID,recording,part,participant,chunk.x,block.x,length.x,rater_label,confidence.x,nat_inf_label,duration,participant2,chunk.y,block.y,length.y,confidence.y,happy,sooth,love,exaggerate,nat_inf_label2,duration2
11,2109,14351526-14352189,TSMD11,chunk10,FA1,0.663,ads,4,A,3,TSMA11,chunk10,FA1,0.663,3,0,0,0,0,A,17
11,2109,14354387-14355944,TSMD11,chunk10,FA1,1.557,ads,4,A,2,TSMA11,chunk10,FA1,1.557,2,0,1,1,0,A,18
11,2109,14380507-14382394,TSMD11,chunk11,FA1,1.887,cds,4,A,4,TSMA11,chunk11,FA1,1.887,3,0,2,0,1,A,31
11,2109,14395418-14396095,TSMD11,chunk11,FA1,0.677,ads,2,A,2,TSMA11,chunk11,FA1,0.677,2,2,0,2,2,A,15
11,2109,14397366-14398302,TSMD11,chunk11,FA1,0.936,ads,0,A,3,TSMA11,chunk11,FA1,0.936,2,1,0,1,0,A,15
11,2109,14420204-14421186,TSMD11,chunk11,FA1,0.982,cds,3,A,2,TSMA11,chunk11,FA1,0.982,3,0,2,0,0,A,19
11,2109,14427593-14428162,TSMD11,chunk12,FA1,0.569,cds,0,A,5,TSMA11,chunk12,FA1,0.569,1,2,2,2,2,A,14
11,2109,14465746-14466302,TSMD11,chunk12,FA1,0.556,ads,2,A,2,TSMA11,chunk12,FA1,0.556,2,0,2,2,0,A,10
11,2109,18168308-18168732,TSMD11,chunk17,FA1,0.424,cds,3,T,3,TSMA11,chunk17,FA1,0.424,2,0,1,1,0,T,17
11,2109,20214430-20214808,TSMD11,chunk18,FA1,0.378,ads,4,T,3,TSMA11,chunk18,FA1,0.378,2,2,0,1,1,T,23
11,2109,20221108-20221570,TSMD11,chunk18,FA1,0.462,ads,4,T,3,TSMA11,chunk18,FA1,0.462,2,2,0,1,2,T,20
11,2109,20226792-20227076,TSMD11,chunk18,FA1,0.284,cds,2,T,2,TSMA11,chunk18,FA1,0.284,2,2,0,2,2,T,21
11,2109,22712384-22713280,TSMD11,chunk19,FA1,0.896,cds,3,T,3,TSMA11,chunk19,FA1,0.896,1,1,1,1,1,T,14
11,2109,3606215-3606377,TSMD11,chunk2,FA1,0.162,cds,4,T,3,TSMA11,chunk2,FA1,0.162,1,2,0,2,2,T,26
11,2109,3650280-3651174,TSMD11,chunk2,FA1,0.894,ads,4,T,5,TSMA11,chunk2,FA1,0.894,3,0,2,1,0,T,22
11,2109,22855732-22856108,TSMD11,chunk21,FA1,0.376,cds,1,T,3,TSMA11,chunk21,FA1,0.376,3,0,2,2,0,T,15
11,2109,22910806-22912224,TSMD11,chunk22,FA1,1.418,ads,4,T,2,TSMA11,chunk22,FA1,1.418,3,1,3,3,0,T,13
11,2109,22913178-22916060,TSMD11,chunk22,FA1,2.882,cds,3,T,3,TSMA11,chunk22,FA1,2.882,3,0,2,1,0,T,27
11,2109,22922720-22923548,TSMD11,chunk22,FA1,0.828,cds,3,T,2,TSMA11,chunk22,FA1,0.828,3,1,2,2,0,T,13
11,2109,24357316-24357612,TSMD11,chunk24,FA1,0.296,cds,0,T,4,TSMA11,chunk24,FA1,0.296,2,0,1,1,0,T,10
11,2109,24596984-24597664,TSMD11,chunk25,FA1,0.68,ads,0,T,5,TSMA11,chunk25,FA1,0.68,2,2,0,2,2,T,15
11,2109,24619425-24619972,TSMD11,chunk25,FA1,0.547,cds,0,T,4,TSMA11,chunk25,FA1,0.547,1,2,1,1,2,T,11
11,2109,25228708-25229502,TSMD11,chunk26,FA1,0.794,ads,0,T,3,TSMA11,chunk26,FA1,0.794,2,3,0,1,3,T,10
11,2109,25232574-25232876,TSMD11,chunk26,FA1,0.302,ads,0,T,5,TSMA11,chunk26,FA1,0.302,2,2,0,1,1,T,17
11,2109,25249904-25250976,TSMD11,chunk26,FA1,1.072,ads,0,T,3,TSMA11,chunk26,FA1,1.072,2,2,2,2,0,T,15
11,2109,29290304-29290976,TSMD11,chunk28,FA1,0.672,ads,0,T,1,TSMA11,chunk28,FA1,0.672,2,2,0,2,2,T,11
11,2109,29295990-29296388,TSMD11,chunk28,FA1,0.398,ads,0,T,4,TSMA11,chunk28,FA1,0.398,2,1,0,0,1,T,16
11,2109,3673484-3676022,TSMD11,chunk3,FA1,2.538,ads,4,T,3,TSMA11,chunk3,FA1,2.538,3,0,2,2,0,T,29
11,2109,3676723-3677069,TSMD11,chunk3,FA1,0.346,cds,0,T,2,TSMA11,chunk3,FA1,0.346,2,1,0,1,2,T,15
11,2109,30760496-30760800,TSMD11,chunk31,FA1,0.304,cds,0,T,3,TSMA11,chunk31,FA1,0.304,2,2,0,1,3,T,11
11,2109,30768460-30768992,TSMD11,chunk31,FA1,0.532,ads,0,T,2,TSMA11,chunk31,FA1,0.532,2,1,0,1,3,T,13
11,2109,31660680-31660968,TSMD11,chunk32,FA1,0.288,ads,0,T,2,TSMA11,chunk32,FA1,0.288,2,2,0,0,2,T,14
11,2109,4030674-4030807,TSMD11,chunk5,FA1,0.133,cds,0,T,2,TSMA11,chunk5,FA1,0.133,2,2,0,0,2,T,17
11,2109,4095542-4095903,TSMD11,chunk6,FA1,0.361,cds,2,T,4,TSMA11,chunk6,FA1,0.361,3,0,2,1,0,T,18
11,2109,4098584-4098812,TSMD11,chunk6,FA1,0.228,ads,3,T,3,TSMA11,chunk6,FA1,0.228,3,3,0,2,2,T,14
11,2109,4102388-4102896,TSMD11,chunk6,FA1,0.508,ads,4,T,3,TSMA11,chunk6,FA1,0.508,3,2,2,2,2,T,20
11,2109,4104430-4104798,TSMD11,chunk6,FA1,0.368,ads,4,T,2,TSMA11,chunk6,FA1,0.368,2,1,1,1,0,T,32
11,2109,4127990-4129054,TSMD11,chunk6,FA1,1.064,cds,1,T,3,TSMA11,chunk6,FA1,1.064,1,1,0,0,2,T,31
11,2109,4137008-4137831,TSMD11,chunk6,FA1,0.823,ads,3,T,2,TSMA11,chunk6,FA1,0.823,2,0,2,2,0,T,34
11,2109,4184903-4185702,TSMD11,chunk7,FA1,0.799,cds,2,T,2,TSMA11,chunk7,FA1,0.799,3,2,0,0,0,T,20
