Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
12:32:45 17Jan2020,TSMA11,3026,chunk12,FA1,5890449-5891500,1.051,unlabeled,2,2,0,1,2,T,11,None
12:31:52 17Jan2020,TSMA11,3026,chunk11,FA1,5815842-5816239,0.397,unlabeled,2,1,2,2,0,T,18,None
12:32:12 17Jan2020,TSMA11,3026,chunk11,FA1,5830066-5830586,0.52,unlabeled,3,0,2,2,0,T,18,None
12:32:30 17Jan2020,TSMA11,3026,chunk11,FA1,5836985-5837401,0.416,unlabeled,1,0,1,1,0,T,16,None
12:31:27 17Jan2020,TSMA11,3026,chunk10,FA1,5749130-5750280,1.15,unlabeled,2,1,2,2,0,T,13,None
12:33:29 17Jan2020,TSMA11,3026,chunk15,FA1,8982657-8983773,1.116,unlabeled,2,0,1,2,0,T,17,None
12:33:42 17Jan2020,TSMA11,3026,chunk15,FA1,8984620-8985943,1.323,unlabeled,2,1,2,2,0,T,11,None
12:33:06 17Jan2020,TSMA11,3026,chunk14,FA1,8926110-8927480,1.37,unlabeled,3,1,3,3,0,T,13,None
12:34:52 17Jan2020,TSMA11,3026,chunk22,FA1,17053090-17053610,0.52,unlabeled,2,1,1,2,0,T,13,None
12:34:37 17Jan2020,TSMA11,3026,chunk22,FA1,17050830-17051630,0.8,unlabeled,2,2,0,2,1,T,12,None
12:34:01 17Jan2020,TSMA11,3026,chunk19,FA1,13578840-13579290,0.45,unlabeled,2,2,0,1,2,T,13,None
12:35:29 17Jan2020,TSMA11,3026,chunk27,FA1,29288558-29289409,0.851,unlabeled,2,0,2,1,1,T,15,None
12:35:11 17Jan2020,TSMA11,3026,chunk24,FA1,17218110-17220010,1.9,unlabeled,2,0,3,1,0,T,14,None
12:35:54 17Jan2020,TSMA11,3026,chunk29,FA1,29389847-29393064,3.217,unlabeled,2,0,0,0,0,C,16,None
12:30:44 17Jan2020,TSMA11,3026,chunk1,FA1,1725530-1728100,2.57,unlabeled,2,1,2,2,0,T,18,None
12:36:10 17Jan2020,TSMA11,3026,chunk40,FA1,32554839-32555510,0.671,unlabeled,2,0,2,2,0,C,11,None
12:36:28 17Jan2020,TSMA11,3026,chunk40,FA1,32560745-32561244,0.499,unlabeled,2,0,1,0,1,A,15,None
12:34:20 17Jan2020,TSMA11,3026,chunk20,FA1,15454646-15455780,1.134,unlabeled,3,0,3,1,0,T,15,None
12:36:42 17Jan2020,TSMA11,3026,chunk42,FA1,32681267-32682600,1.333,unlabeled,2,1,0,0,1,C,11,None
12:31:09 17Jan2020,TSMA11,3026,chunk4,FA1,1937561-1939172,1.611,unlabeled,2,2,0,1,2,C,19,None
12:23:22 17Jan2020,TSMA11,2109,chunk12,FA1,14427593-14428162,0.569,unlabeled,1,2,2,2,2,A,14,None
12:23:35 17Jan2020,TSMA11,2109,chunk12,FA1,14465746-14466302,0.556,unlabeled,2,0,2,2,0,A,10,None
12:22:05 17Jan2020,TSMA11,2109,chunk11,FA1,14380507-14382394,1.887,unlabeled,3,0,2,0,1,A,31,None
12:23:03 17Jan2020,TSMA11,2109,chunk11,FA1,14420204-14421186,0.982,unlabeled,3,0,2,0,0,A,19,None
12:22:23 17Jan2020,TSMA11,2109,chunk11,FA1,14395418-14396095,0.677,unlabeled,2,2,0,2,2,A,15,None
12:22:40 17Jan2020,TSMA11,2109,chunk11,FA1,14397366-14398302,0.936,unlabeled,2,1,0,1,0,A,15,None
12:21:29 17Jan2020,TSMA11,2109,chunk10,FA1,14354387-14355944,1.557,unlabeled,2,0,1,1,0,A,18,None
12:21:09 17Jan2020,TSMA11,2109,chunk10,FA1,14351526-14352189,0.663,unlabeled,3,0,0,0,0,A,17,None
12:23:57 17Jan2020,TSMA11,2109,chunk17,FA1,18168308-18168732,0.424,unlabeled,2,0,1,1,0,T,17,None
12:26:52 17Jan2020,TSMA11,2109,chunk22,FA1,22922720-22923548,0.828,unlabeled,3,1,2,2,0,T,13,None
12:26:07 17Jan2020,TSMA11,2109,chunk22,FA1,22910806-22912224,1.418,unlabeled,3,1,3,3,0,T,13,None
12:26:36 17Jan2020,TSMA11,2109,chunk22,FA1,22913178-22916060,2.882,unlabeled,3,0,2,1,0,T,27,None
12:28:03 17Jan2020,TSMA11,2109,chunk26,FA1,25228708-25229502,0.794,unlabeled,2,3,0,1,3,T,10,None
12:28:22 17Jan2020,TSMA11,2109,chunk26,FA1,25232574-25232876,0.302,unlabeled,2,2,0,1,1,T,17,None
